Champion,Picks,Bans,Total
Gangplank,4,69,73
Mordekaiser,4,68,72
Elise,39,32,71
Lulu,26,43,69
RekSai,37,19,56
Kalista,29,25,54
Darius,38,15,53
Azir,14,28,42
Thresh,29,6,35
Tahm Kench,14,20,34
Alistar,30,3,33
Gragas,29,4,33
Jinx,29,4,33
Lee Sin,18,10,28
Twisted Fate,12,16,28
Tristana,27,0,27
Braum,21,3,24
Fiora,19,4,23
Kennen,16,5,21
Gnar,19,2,21
Morgana,18,2,20
Sivir,19,0,19
Veigar,8,10,18
Viktor,17,1,18
LeBlanc,11,6,17
Shen,12,3,15
Malphite,10,4,14
Ashe,9,4,13
Olaf,10,2,12
Orianna,12,0,12
Yasuo,6,6,12
Annie,9,1,10
Renekton,6,4,10
Riven,10,0,10
Fizz,4,5,9
Ekko,9,0,9
KogMaw,7,1,8
Ryze,6,2,8
Kassadin,7,0,7
Vayne,6,1,7
Anivia,6,0,6
Diana,4,2,6
Nidalee,3,3,6
Rumble,5,1,6
Varus,2,4,6
Caitlyn,5,0,5
Hecarim,5,0,5
Jarvan IV,5,0,5
Evelynn,4,0,4
Lissandra,4,0,4
Ahri,3,0,3
Janna,3,0,3
Maokai,3,0,3
Skarner,3,0,3
Irelia,2,0,2
Rengar,2,0,2
Zac,2,0,2
Zed,2,0,2
Bard,2,0,2
Blitzcrank,1,0,1
Brand,1,0,1
Cassiopeia,1,0,1
Draven,1,0,1
Graves,1,0,1
Jayce,1,0,1
Karthus,1,0,1
Leona,1,0,1
Lucian,1,0,1
Nautilus,1,0,1
Nunu,1,0,1
Syndra,1,0,1
Twitch,1,0,1
Vi,1,0,1
Vladimir,1,0,1
Aatrox,0,0,0
Akali,0,0,0
Amumu,0,0,0
Chogath,0,0,0
Corki,0,0,0
Dr. Mundo,0,0,0
Ezreal,0,0,0
Fiddlesticks,0,0,0
Galio,0,0,0
Garen,0,0,0
Heimerdinger,0,0,0
Jax,0,0,0
Karma,0,0,0
Katarina,0,0,0
Kayle,0,0,0
KhaZix,0,0,0
Lux,0,0,0
Malzahar,0,0,0
Master Yi,0,0,0
Miss Fortune,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nocturne,0,0,0
Pantheon,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Sejuani,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sion,0,0,0
Sona,0,0,0
Soraka,0,0,0
Swain,0,0,0
Talon,0,0,0
Taric,0,0,0
Teemo,0,0,0
Trundle,0,0,0
Tryndamere,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xerath,0,0,0
Xin Zhao,0,0,0
Yorick,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
VelKoz,0,0,0
Kindred,0,0,0
Illaoi,0,0,0
Jhin,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Camille,0,0,0
Xayah,0,0,0
Rakan,0,0,0
Kayn,0,0,0
Ornn,0,0,0
Zoe,0,0,0
Kaisa,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Sylas,0,0,0
Yuumi,0,0,0
Qiyana,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
