Champion,Picks,Bans,Total
LeBlanc,23,92,115
RekSai,33,74,107
Lulu,45,55,100
Jarvan IV,91,7,98
Lissandra,37,60,97
Janna,67,27,94
Corki,79,13,92
Rumble,44,44,88
Lee Sin,66,12,78
Kassadin,32,44,76
Thresh,58,16,74
Xerath,35,39,74
Gnar,49,22,71
Maokai,50,13,63
Sivir,58,5,63
Kalista,20,39,59
Ezreal,34,8,42
Morgana,26,16,42
Cassiopeia,10,26,36
Annie,24,10,34
Ahri,19,11,30
Nami,28,0,28
Veigar,4,24,28
Nidalee,13,12,25
Urgot,6,19,25
Azir,11,14,25
Hecarim,20,3,23
KogMaw,21,2,23
Dr. Mundo,15,4,19
Leona,19,0,19
Rengar,11,8,19
Sejuani,17,2,19
Lucian,18,0,18
Nunu,14,4,18
Fizz,4,12,16
Jayce,12,4,16
Viktor,11,5,16
Graves,15,0,15
Tristana,15,0,15
Nautilus,11,0,11
Sion,8,3,11
Kennen,9,1,10
Irelia,8,1,9
Twisted Fate,5,4,9
Zed,4,5,9
Karthus,7,1,8
Vladimir,7,1,8
Alistar,7,0,7
Chogath,5,2,7
Braum,7,0,7
Vi,6,0,6
Orianna,5,0,5
Diana,4,0,4
Renekton,3,1,4
Syndra,4,0,4
Caitlyn,3,0,3
Pantheon,3,0,3
Twitch,3,0,3
Anivia,1,1,2
Elise,1,1,2
KhaZix,2,0,2
Blitzcrank,1,0,1
Draven,1,0,1
Evelynn,0,1,1
Gragas,1,0,1
Jax,1,0,1
Jinx,1,0,1
Karma,1,0,1
Kayle,1,0,1
Lux,1,0,1
Malzahar,1,0,1
Trundle,1,0,1
Udyr,1,0,1
Vayne,1,0,1
Yasuo,1,0,1
Aatrox,0,0,0
Akali,0,0,0
Amumu,0,0,0
Ashe,0,0,0
Brand,0,0,0
Darius,0,0,0
Fiddlesticks,0,0,0
Fiora,0,0,0
Galio,0,0,0
Gangplank,0,0,0
Garen,0,0,0
Heimerdinger,0,0,0
Katarina,0,0,0
Malphite,0,0,0
Master Yi,0,0,0
Miss Fortune,0,0,0
Mordekaiser,0,0,0
Nasus,0,0,0
Nocturne,0,0,0
Olaf,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Riven,0,0,0
Ryze,0,0,0
Shaco,0,0,0
Shen,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Skarner,0,0,0
Sona,0,0,0
Soraka,0,0,0
Swain,0,0,0
Talon,0,0,0
Taric,0,0,0
Teemo,0,0,0
Tryndamere,0,0,0
Varus,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xin Zhao,0,0,0
Yorick,0,0,0
Zac,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
VelKoz,0,0,0
Bard,0,0,0
Ekko,0,0,0
Tahm Kench,0,0,0
Kindred,0,0,0
Illaoi,0,0,0
Jhin,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Camille,0,0,0
Xayah,0,0,0
Rakan,0,0,0
Kayn,0,0,0
Ornn,0,0,0
Zoe,0,0,0
Kaisa,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Sylas,0,0,0
Yuumi,0,0,0
Qiyana,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
