Champion,Picks,Bans,Total
Nidalee,11,66,77
Syndra,16,59,75
Olaf,36,23,59
Karma,42,16,58
Jhin,39,12,51
Elise,29,21,50
Caitlyn,34,15,49
Jayce,26,21,47
Ryze,19,27,46
Lee Sin,37,8,45
Rumble,32,9,41
Ezreal,32,7,39
Poppy,29,9,38
Kennen,23,14,37
RekSai,18,16,34
Aurelion Sol,12,20,32
Sivir,20,11,31
Gnar,18,12,30
Viktor,23,6,29
Alistar,23,5,28
Cassiopeia,22,6,28
Vladimir,15,12,27
Zyra,22,5,27
Nami,24,2,26
Tahm Kench,11,12,23
Bard,12,5,17
Braum,16,0,16
Ashe,11,4,15
Lucian,13,1,14
Malzahar,11,3,14
Orianna,13,0,13
Trundle,11,1,12
Ekko,10,1,11
Brand,1,8,9
Varus,5,3,8
Zac,4,4,8
Graves,7,0,7
Miss Fortune,3,4,7
Skarner,6,1,7
Irelia,5,1,6
Twisted Fate,1,5,6
Jinx,5,0,5
Kassadin,0,4,4
Zilean,4,0,4
Hecarim,3,0,3
Lissandra,3,0,3
Soraka,2,1,3
Anivia,1,1,2
Maokai,2,0,2
Shen,1,1,2
Fiora,1,0,1
KhaZix,1,0,1
Nautilus,1,0,1
Nocturne,1,0,1
Taric,1,0,1
Kindred,1,0,1
Kled,1,0,1
Aatrox,0,0,0
Ahri,0,0,0
Akali,0,0,0
Amumu,0,0,0
Annie,0,0,0
Blitzcrank,0,0,0
Chogath,0,0,0
Corki,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Draven,0,0,0
Evelynn,0,0,0
Fiddlesticks,0,0,0
Fizz,0,0,0
Galio,0,0,0
Gangplank,0,0,0
Garen,0,0,0
Gragas,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Jarvan IV,0,0,0
Jax,0,0,0
Karthus,0,0,0
Katarina,0,0,0
Kayle,0,0,0
KogMaw,0,0,0
LeBlanc,0,0,0
Leona,0,0,0
Lulu,0,0,0
Lux,0,0,0
Malphite,0,0,0
Master Yi,0,0,0
Mordekaiser,0,0,0
Morgana,0,0,0
Nasus,0,0,0
Nunu,0,0,0
Pantheon,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Renekton,0,0,0
Rengar,0,0,0
Riven,0,0,0
Sejuani,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sion,0,0,0
Sona,0,0,0
Swain,0,0,0
Talon,0,0,0
Teemo,0,0,0
Thresh,0,0,0
Tristana,0,0,0
Tryndamere,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Vayne,0,0,0
Veigar,0,0,0
Vi,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xerath,0,0,0
Xin Zhao,0,0,0
Yasuo,0,0,0
Yorick,0,0,0
Zed,0,0,0
Ziggs,0,0,0
Azir,0,0,0
Kalista,0,0,0
VelKoz,0,0,0
Illaoi,0,0,0
Taliyah,0,0,0
Ivern,0,0,0
Camille,0,0,0
Xayah,0,0,0
Rakan,0,0,0
Kayn,0,0,0
Ornn,0,0,0
Zoe,0,0,0
Kaisa,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Sylas,0,0,0
Yuumi,0,0,0
Qiyana,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
