Champion,Picks,Bans,Total
Ezreal,22,19,41
Rakan,13,27,40
Ornn,24,16,40
Kaisa,12,26,38
Karma,12,21,33
Graves,11,21,32
Morgana,10,22,32
Trundle,24,6,30
Camille,10,20,30
Tahm Kench,20,9,29
Vladimir,12,16,28
Gangplank,10,17,27
Taliyah,14,13,27
Zoe,9,17,26
Sion,13,12,25
Skarner,16,9,25
Ryze,11,12,23
Braum,15,7,22
Olaf,14,7,21
Yasuo,7,14,21
KhaZix,3,16,19
Alistar,6,10,16
Chogath,11,5,16
KogMaw,10,5,15
Shen,5,9,14
Swain,3,10,13
Varus,6,6,12
Irelia,4,7,11
Janna,8,3,11
Malzahar,7,4,11
Tristana,5,6,11
Xayah,10,0,10
Jhin,7,2,9
Zac,6,2,8
Caitlyn,6,1,7
Soraka,3,4,7
Cassiopeia,3,3,6
Galio,6,0,6
Sejuani,3,3,6
Singed,1,5,6
Thresh,2,4,6
Sivir,4,1,5
Lee Sin,3,1,4
Gnar,2,2,4
Aurelion Sol,2,2,4
Ashe,3,0,3
Jayce,1,2,3
Lulu,2,1,3
Xin Zhao,2,1,3
Azir,2,1,3
Fiora,1,1,2
Gragas,2,0,2
Jax,1,1,2
Taric,2,0,2
Kindred,1,1,2
Illaoi,2,0,2
Corki,1,0,1
Kennen,1,0,1
Maokai,1,0,1
Nocturne,1,0,1
Kalista,1,0,1
VelKoz,1,0,1
Aatrox,0,0,0
Ahri,0,0,0
Akali,0,0,0
Amumu,0,0,0
Anivia,0,0,0
Annie,0,0,0
Blitzcrank,0,0,0
Brand,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Draven,0,0,0
Elise,0,0,0
Evelynn,0,0,0
Fiddlesticks,0,0,0
Fizz,0,0,0
Garen,0,0,0
Hecarim,0,0,0
Heimerdinger,0,0,0
Jarvan IV,0,0,0
Jinx,0,0,0
Karthus,0,0,0
Kassadin,0,0,0
Katarina,0,0,0
Kayle,0,0,0
LeBlanc,0,0,0
Leona,0,0,0
Lissandra,0,0,0
Lucian,0,0,0
Lux,0,0,0
Malphite,0,0,0
Master Yi,0,0,0
Miss Fortune,0,0,0
Mordekaiser,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nautilus,0,0,0
Nidalee,0,0,0
Nunu,0,0,0
Orianna,0,0,0
Pantheon,0,0,0
Poppy,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Renekton,0,0,0
Rengar,0,0,0
Riven,0,0,0
Rumble,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Sona,0,0,0
Syndra,0,0,0
Talon,0,0,0
Teemo,0,0,0
Tryndamere,0,0,0
Twisted Fate,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Urgot,0,0,0
Vayne,0,0,0
Veigar,0,0,0
Vi,0,0,0
Viktor,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xerath,0,0,0
Yorick,0,0,0
Zed,0,0,0
Ziggs,0,0,0
Zilean,0,0,0
Zyra,0,0,0
RekSai,0,0,0
Bard,0,0,0
Ekko,0,0,0
Kled,0,0,0
Ivern,0,0,0
Kayn,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Sylas,0,0,0
Yuumi,0,0,0
Qiyana,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
