Champion,Picks,Bans,Total
Pantheon,0,77,77
Qiyana,15,56,71
Akali,21,46,67
Renekton,20,46,66
Xayah,34,30,64
Kaisa,50,12,62
Gragas,41,16,57
Kayle,21,36,57
Syndra,15,40,55
Nautilus,37,17,54
Ryze,30,22,52
Lee Sin,42,8,50
Elise,23,22,45
Gangplank,26,18,44
Rakan,23,20,43
LeBlanc,10,27,37
Jayce,16,11,27
Yasuo,13,14,27
Yuumi,9,18,27
Ezreal,16,9,25
RekSai,13,12,25
Leona,15,7,22
Tristana,10,11,21
Jarvan IV,10,10,20
Vladimir,11,9,20
Olaf,8,10,18
Galio,12,5,17
Thresh,15,2,17
Twisted Fate,3,14,17
Lucian,9,7,16
Irelia,4,11,15
Rumble,3,12,15
Kled,5,10,15
Alistar,11,3,14
Morgana,4,10,14
Veigar,5,8,13
Ornn,9,4,13
Pyke,7,6,13
Blitzcrank,6,6,12
Camille,7,5,12
Tahm Kench,7,4,11
Orianna,9,1,10
Varus,9,1,10
Gnar,8,2,10
Aatrox,7,2,9
Cassiopeia,7,2,9
Heimerdinger,4,5,9
Quinn,2,7,9
Garen,7,1,8
Fiora,3,4,7
Nocturne,4,3,7
Sion,7,0,7
Taliyah,5,2,7
Shen,6,0,6
Vayne,2,4,6
Jax,1,4,5
Chogath,3,1,4
Kennen,2,2,4
Mordekaiser,4,0,4
Skarner,2,2,4
Zoe,4,0,4
Draven,2,1,3
Karma,1,2,3
Karthus,2,1,3
Lissandra,2,1,3
Poppy,3,0,3
Azir,3,0,3
Corki,2,0,2
Jinx,2,0,2
Lulu,2,0,2
Sivir,1,1,2
Sona,1,1,2
Volibear,1,1,2
Braum,0,2,2
Kalista,0,2,2
Jhin,0,2,2
Sylas,1,1,2
Anivia,1,0,1
Caitlyn,1,0,1
Fiddlesticks,1,0,1
KhaZix,1,0,1
KogMaw,1,0,1
Malphite,1,0,1
Rengar,1,0,1
Sejuani,1,0,1
Urgot,1,0,1
Viktor,1,0,1
Yorick,1,0,1
Zilean,1,0,1
Bard,1,0,1
Ekko,1,0,1
Neeko,1,0,1
Ahri,0,0,0
Amumu,0,0,0
Annie,0,0,0
Ashe,0,0,0
Brand,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Evelynn,0,0,0
Fizz,0,0,0
Graves,0,0,0
Hecarim,0,0,0
Janna,0,0,0
Kassadin,0,0,0
Katarina,0,0,0
Lux,0,0,0
Malzahar,0,0,0
Maokai,0,0,0
Master Yi,0,0,0
Miss Fortune,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nidalee,0,0,0
Nunu,0,0,0
Rammus,0,0,0
Riven,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Soraka,0,0,0
Swain,0,0,0
Talon,0,0,0
Taric,0,0,0
Teemo,0,0,0
Trundle,0,0,0
Tryndamere,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Vi,0,0,0
Warwick,0,0,0
Wukong,0,0,0
Xerath,0,0,0
Xin Zhao,0,0,0
Zac,0,0,0
Zed,0,0,0
Ziggs,0,0,0
Zyra,0,0,0
VelKoz,0,0,0
Kindred,0,0,0
Illaoi,0,0,0
Aurelion Sol,0,0,0
Ivern,0,0,0
Kayn,0,0,0
Senna,0,0,0
Aphelios,0,0,0
Sett,0,0,0
Lillia,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
