Champion,Picks,Bans,Total
Lucian,11,60,71
Graves,52,18,70
Ornn,29,40,69
Nidalee,20,48,68
Syndra,28,40,68
Twisted Fate,16,46,62
Camille,14,42,56
Ashe,32,20,52
Renekton,22,30,52
Senna,31,12,43
Leona,24,18,42
Jhin,31,11,42
Ezreal,21,19,40
Orianna,28,12,40
Sett,17,23,40
Caitlyn,11,28,39
Pantheon,17,21,38
Lillia,25,13,38
Volibear,22,14,36
Shen,8,24,32
Tahm Kench,15,14,29
Kindred,19,9,28
Bard,15,12,27
Kalista,8,17,25
Thresh,10,14,24
Rakan,14,9,23
Sylas,11,9,20
Galio,15,4,19
Gangplank,11,7,18
Nautilus,13,5,18
Lulu,10,7,17
Azir,10,5,15
Akali,5,9,14
Twitch,2,12,14
Lee Sin,10,3,13
Jax,7,5,12
Jayce,8,3,11
Zoe,8,3,11
Evelynn,4,6,10
Braum,7,3,10
Ekko,7,3,10
Alistar,6,3,9
Blitzcrank,4,4,8
Hecarim,4,4,8
Irelia,2,6,8
Karma,4,4,8
Lux,5,3,8
Wukong,3,5,8
Aphelios,6,2,8
Kennen,4,3,7
Sion,6,1,7
Gragas,3,3,6
Swain,0,6,6
Vladimir,3,3,6
Jarvan IV,3,2,5
Kassadin,2,3,5
Miss Fortune,5,0,5
Mordekaiser,2,3,5
Malphite,4,0,4
Yuumi,0,4,4
Draven,2,1,3
Taric,3,0,3
Fiora,2,0,2
Karthus,1,1,2
Ziggs,2,0,2
Zilean,2,0,2
VelKoz,2,0,2
Kayle,1,0,1
KhaZix,1,0,1
LeBlanc,1,0,1
Maokai,1,0,1
Morgana,0,1,1
Nocturne,1,0,1
Quinn,1,0,1
Rengar,1,0,1
Ryze,1,0,1
Singed,1,0,1
Urgot,1,0,1
Vayne,1,0,1
Gnar,1,0,1
Aatrox,0,0,0
Ahri,0,0,0
Amumu,0,0,0
Anivia,0,0,0
Annie,0,0,0
Brand,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Corki,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Elise,0,0,0
Fiddlesticks,0,0,0
Fizz,0,0,0
Garen,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Jinx,0,0,0
Katarina,0,0,0
KogMaw,0,0,0
Lissandra,0,0,0
Malzahar,0,0,0
Master Yi,0,0,0
Nami,0,0,0
Nasus,0,0,0
Nunu,0,0,0
Olaf,0,0,0
Poppy,0,0,0
Rammus,0,0,0
Riven,0,0,0
Rumble,0,0,0
Sejuani,0,0,0
Shaco,0,0,0
Shyvana,0,0,0
Sivir,0,0,0
Skarner,0,0,0
Sona,0,0,0
Soraka,0,0,0
Talon,0,0,0
Teemo,0,0,0
Tristana,0,0,0
Trundle,0,0,0
Tryndamere,0,0,0
Udyr,0,0,0
Varus,0,0,0
Veigar,0,0,0
Vi,0,0,0
Viktor,0,0,0
Warwick,0,0,0
Xerath,0,0,0
Xin Zhao,0,0,0
Yasuo,0,0,0
Yorick,0,0,0
Zac,0,0,0
Zed,0,0,0
Zyra,0,0,0
RekSai,0,0,0
Illaoi,0,0,0
Aurelion Sol,0,0,0
Taliyah,0,0,0
Kled,0,0,0
Ivern,0,0,0
Xayah,0,0,0
Kayn,0,0,0
Kaisa,0,0,0
Pyke,0,0,0
Neeko,0,0,0
Qiyana,0,0,0
Yone,0,0,0
Samira,0,0,0
Seraphine,0,0,0
Rell,0,0,0
Viego,0,0,0
Gwen,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
