Champion,Picks,Bans,Total
Lee Sin,37,45,82
Twisted Fate,24,56,80
Yuumi,15,65,80
LeBlanc,23,51,74
Graves,36,29,65
Lucian,20,45,65
Aphelios,31,34,65
Jarvan IV,31,33,64
Miss Fortune,51,10,61
Ryze,24,32,56
Xin Zhao,30,25,55
Irelia,9,45,54
Leona,32,22,54
Kennen,22,29,51
Jayce,23,23,46
Rakan,29,16,45
Nami,13,20,33
Thresh,12,18,30
Jhin,28,2,30
Viego,18,7,25
Syndra,15,9,24
Sylas,16,8,24
Talon,12,11,23
Gwen,14,9,23
Draven,4,18,22
Azir,10,12,22
Zoe,14,8,22
Olaf,8,12,20
Ezreal,11,8,19
Lulu,16,3,19
Braum,11,8,19
Qiyana,10,9,19
Renekton,12,4,16
Camille,7,9,16
Orianna,12,3,15
Poppy,10,5,15
Ziggs,9,6,15
Nautilus,10,4,14
Rell,9,3,12
Galio,3,8,11
Trundle,6,5,11
Gnar,8,2,10
Kaisa,8,2,10
Tryndamere,3,6,9
Sett,3,6,9
Lissandra,5,3,8
Amumu,1,6,7
Gragas,6,1,7
Jax,7,0,7
Wukong,3,4,7
Alistar,5,0,5
Gangplank,2,3,5
Malphite,2,3,5
Malzahar,3,2,5
Urgot,0,5,5
Yasuo,4,1,5
Aatrox,3,1,4
Fiddlesticks,2,2,4
Jinx,1,3,4
Rumble,3,1,4
Tristana,3,1,4
Taliyah,1,3,4
Annie,2,1,3
Shen,3,0,3
Varus,2,1,3
Viktor,3,0,3
Zilean,3,0,3
Pyke,3,0,3
Fiora,2,0,2
Kassadin,1,1,2
Maokai,2,0,2
Kalista,1,1,2
Xayah,1,1,2
Lillia,2,0,2
Ashe,1,0,1
Sejuani,1,0,1
Shaco,1,0,1
Vladimir,0,1,1
Yone,1,0,1
Seraphine,1,0,1
Ahri,0,0,0
Akali,0,0,0
Anivia,0,0,0
Blitzcrank,0,0,0
Brand,0,0,0
Caitlyn,0,0,0
Cassiopeia,0,0,0
Chogath,0,0,0
Corki,0,0,0
Darius,0,0,0
Diana,0,0,0
Dr. Mundo,0,0,0
Elise,0,0,0
Evelynn,0,0,0
Fizz,0,0,0
Garen,0,0,0
Hecarim,0,0,0
Heimerdinger,0,0,0
Janna,0,0,0
Karma,0,0,0
Karthus,0,0,0
Katarina,0,0,0
Kayle,0,0,0
KhaZix,0,0,0
KogMaw,0,0,0
Lux,0,0,0
Master Yi,0,0,0
Mordekaiser,0,0,0
Morgana,0,0,0
Nasus,0,0,0
Nidalee,0,0,0
Nocturne,0,0,0
Nunu,0,0,0
Pantheon,0,0,0
Quinn,0,0,0
Rammus,0,0,0
Rengar,0,0,0
Riven,0,0,0
Shyvana,0,0,0
Singed,0,0,0
Sion,0,0,0
Sivir,0,0,0
Skarner,0,0,0
Sona,0,0,0
Soraka,0,0,0
Swain,0,0,0
Taric,0,0,0
Teemo,0,0,0
Twitch,0,0,0
Udyr,0,0,0
Vayne,0,0,0
Veigar,0,0,0
Vi,0,0,0
Volibear,0,0,0
Warwick,0,0,0
Xerath,0,0,0
Yorick,0,0,0
Zac,0,0,0
Zed,0,0,0
Zyra,0,0,0
RekSai,0,0,0
VelKoz,0,0,0
Bard,0,0,0
Ekko,0,0,0
Tahm Kench,0,0,0
Kindred,0,0,0
Illaoi,0,0,0
Aurelion Sol,0,0,0
Kled,0,0,0
Ivern,0,0,0
Kayn,0,0,0
Ornn,0,0,0
Neeko,0,0,0
Senna,0,0,0
Samira,0,0,0
Akshan,0,0,0
Vex,0,0,0
Zeri,0,0,0
Renata Glasc,0,0,0
Belveth,0,0,0
Nilah,0,0,0
KSante,0,0,0
