Player,Country,Position,FB%,KDA,GPM,KP%,DMG%,DPM,VSPM,empty
369,CN,TOP,0.214,2.9,398,0.615,0.251,594,0.98,0
Abbedagge,DE,MID,0.167,2,374,0.566,0.272,454,1,0
Atlen,TW,ADC,1,1,402,1,0.112,163,0.98,0
Berserker,KR,ADC,0.333,2,374,0.648,0.222,389,0.88,0
BeryL,KR,SUPPORT,0.19,3.9,251,0.65,0.133,292,2.74,0
Bie,VN,SUPPORT,0,2,222,0.669,0.085,156,2.41,0
Blaber,US,JUNGLE,0.333,1.7,305,0.884,0.147,256,1.17,0
Breathe,CN,TOP,0.4,2.3,413,0.503,0.209,406,0.98,0
Brokenblade,DE,TOP,0.5,1.8,347,0.667,0.278,476,0.67,0
Canyon,KR,JUNGLE,0.417,3.8,367,0.734,0.186,426,1.76,0
Caps,DK,MID,0,2.1,362,0.585,0.241,424,0.65,0
Chovy,KR,MID,0.25,5.5,440,0.596,0.265,552,1.27,0
Closer,TR,JUNGLE,0.167,2.9,302,0.688,0.107,175,1.26,0
Comp,GR,ADC,0.2,3.8,443,0.565,0.23,479,1.18,0
Deft,KR,ADC,0.143,4.4,437,0.586,0.266,565,1.31,0
Doran,KR,TOP,0.188,2.8,369,0.543,0.209,439,1.03,0
FBI,AU,SUPPORT,1,2.7,287,0.8,0.193,404,3.33,0
FBI,AU,ADC,0.2,1.9,372,0.763,0.271,404,0.75,0
Faker,KR,MID,0.111,2.8,398,0.499,0.245,612,0.95,0
Flakked,ES,ADC,0.167,2.4,391,0.556,0.224,400,0.9,0
Flandre,CN,TOP,0.091,3.5,381,0.478,0.218,502,0.78,0
Fudge,AU,TOP,0,1.5,331,0.336,0.188,348,0.83,0
GALA,CN,ADC,0.1,5.8,452,0.645,0.307,619,0.91,0
Gemini,TW,JUNGLE,0.5,1.3,278,0.722,0.123,221,1.3,0
Gumayusi,KR,ADC,0.222,7.6,481,0.661,0.253,625,1.35,0
Hope,CN,ADC,0.286,3.8,444,0.661,0.247,582,1.23,0
Huhi,KR,ADC,0,7,392,0.7,0.134,281,0.94,0
Huhi,KR,SUPPORT,0.2,1.7,223,0.503,0.082,130,2.26,0
Humanoid,CZ,MID,0,2.3,418,0.542,0.335,673,0.59,0
Hylissang,BG,SUPPORT,0.167,1.8,220,0.749,0.08,161,2.24,0
Impact,KR,TOP,0,1.6,330,0.637,0.227,437,0.82,0
Inspired,PL,JUNGLE,0.167,2.6,340,0.702,0.178,338,1.82,0
JackeyLove,CN,ADC,0.5,4.5,499,0.766,0.3,665,1.21,0
Jankos,PL,JUNGLE,0.667,2.6,321,0.809,0.169,301,1.86,0
Jensen,DK,MID,0.167,1.7,365,0.715,0.356,617,0.72,0
Jiejie,CN,JUNGLE,0.545,3.6,332,0.758,0.148,335,2.08,0
Juhan,KR,JUNGLE,0,2.3,297,0.9,0.178,357,1.33,0
Kanavi,KR,JUNGLE,0.286,3.8,410,0.659,0.183,431,2.08,0
Kaori,TR,ADC,0.333,2,418,0.676,0.277,537,0.73,0
Kati,VN,MID,0,2,345,0.723,0.25,429,0.87,0
Kellin,KR,SUPPORT,0.167,5.2,246,0.752,0.076,177,2.68,0
Keria,KR,SUPPORT,0.333,7.6,269,0.759,0.107,262,2.36,0
Kiaya,VN,TOP,0.167,1.5,338,0.59,0.224,404,0.75,0
Knight,CN,MID,0.5,8.4,446,0.715,0.329,686,0.96,0
Koala,TW,SUPPORT,0.5,1,233,0.689,0.09,156,2.56,0
Larssen,SE,MID,0.1,6.2,417,0.629,0.299,606,0.84,0
Lehends,KR,SUPPORT,0.4,3.9,234,0.758,0.086,187,2.47,0
Lehends,KR,ADC,0,1.3,258,0.8,0.128,173,0.8,0
Levi,VN,JUNGLE,0.333,1.9,336,0.927,0.227,465,2.08,0
Malrang,KR,JUNGLE,0.3,2.6,297,0.732,0.13,261,1.8,0
Mark,CN,SUPPORT,0.667,5.3,250,0.804,0.078,181,2.71,0
Ming,CN,SUPPORT,0.1,3.4,239,0.709,0.08,166,2.67,0
Missing,CN,SUPPORT,0.286,3.9,248,0.738,0.097,234,2.46,0
Mission,TW,MID,0.167,1.6,412,0.647,0.354,626,0.81,0
Nuguri,KR,TOP,0.25,2.3,392,0.484,0.216,508,0.94,0
Odoamne,RO,TOP,0.2,2.2,346,0.586,0.233,471,0.87,0
Oner,KR,JUNGLE,0.278,4.5,361,0.682,0.145,360,1.75,0
Peanut,KR,JUNGLE,0.5,4.8,334,0.676,0.141,312,1.79,0
Pyosik,KR,JUNGLE,0.5,5.5,338,0.696,0.15,314,2.27,0
Razork,ES,JUNGLE,0.167,2.5,301,0.751,0.164,328,1.45,0
Rest,TW,TOP,0.167,1.2,353,0.361,0.224,407,0.69,0
Ruler,KR,SUPPORT,0,1.3,245,0.8,0.094,127,2.52,0
Ruler,KR,ADC,0.4,6.8,452,0.686,0.309,661,1.42,0
Scout,KR,MID,0.364,3.6,407,0.658,0.29,671,0.89,0
ShowMaker,KR,MID,0,6.1,407,0.648,0.272,633,1.29,0
Shunn,TW,ADC,0.4,1.4,413,0.631,0.228,416,1.19,0
Sty1e,VN,ADC,0.167,1.8,383,0.704,0.215,393,1.22,0
Targamas,BE,SUPPORT,0.167,2.3,217,0.633,0.087,143,2.03,0
Tian,CN,JUNGLE,0.333,3.9,330,0.627,0.135,319,1.87,0
Trymbi,PL,SUPPORT,0.2,2.4,223,0.616,0.107,211,2.01,0
Upset,DE,ADC,0.167,4.8,423,0.557,0.238,490,1.03,0
Viper,KR,ADC,0.364,5.2,442,0.702,0.272,626,1.37,0
Vulcan,CA,SUPPORT,0.333,1.8,214,0.695,0.084,157,2.03,0
Wayward,CN,TOP,0,1.4,365,0.345,0.158,338,0.83,0
Wei,CN,JUNGLE,0.4,4,330,0.656,0.152,294,1.98,0
Wunder,DK,TOP,0,1.8,327,0.568,0.183,368,0.98,0
Yagao,CN,MID,0.071,3.6,391,0.598,0.221,524,1.03,0
Zeka,KR,MID,0.381,5.2,435,0.606,0.227,481,1.09,0
Zeus,KR,TOP,0.056,3.2,423,0.632,0.25,622,1,0
Zven,DK,SUPPORT,0.5,0.9,219,0.65,0.088,151,2.29,0
deokdam,KR,ADC,0.167,5.2,448,0.673,0.25,588,0.97,0
jojopyun,CA,MID,0,1,347,0.402,0.234,451,0.93,0
kingen,KR,TOP,0.333,3.5,372,0.613,0.222,475,1.01,0
meiko,CN,SUPPORT,0.455,3.6,240,0.705,0.072,165,2.63,0
ssumday,KR,TOP,0,1.9,374,0.588,0.272,438,1.05,0
xiaohu,CN,MID,0.4,2.9,392,0.598,0.253,488,0.87,0
